index	value	noise
0	-0.25	F
1	0.25	F
2	-0.15	F
3	0.15	F
4	-0.2	F
5	0.25	F
6	-0.3	F
7	0.15	F
8	-0.1	F
9	0.0	F
10	-0.25	F
11	0.25	F
12	-0.15	F
13	0.15	F
14	-0.2	F
15	0.25	F
16	-0.3	F
17	0.15	F
18	-0.1	F
19	0.0	F
20	-0.25	F
21	0.25	F
22	-0.15	F
23	0.15	F
24	-0.2	F
25	0.25	F
26	-0.3	F
27	0.15	F
28	-0.1	F
29	0.0	F
30	-0.25	F
31	0.25	F
32	-0.15	F
33	0.15	F
34	-0.2	F
35	0.25	F
36	-0.3	F
37	0.15	F
38	-0.1	F
39	0.0	F
40	-0.25	F
41	0.25	F
42.0	-0.15	T
43.886784	0.15	T
45.77357	-0.2	T
47.660355	0.25	T
49.54714	-0.3	T
51.43392	0.15	T
53.32071	-0.1	T
55.207493	0.0	T
57.094276	-0.25	T
58.981064	0.25	T
59	0.15	F
60	-0.2	F
61	0.25	F
62	-0.3	F
63	0.15	F
64	-0.1	F
65	0.0	F
66	-0.25	F
67	0.25	F
68	-0.15	F
69	0.15	F
70	-0.2	F
71	0.25	F
72	-0.3	F
73	0.15	F
74	-0.1	F
75	0.0	F
76	-0.25	F
77	0.25	F
78	-0.15	F
79	0.15	F
80	-0.2	F
81	0.25	F
82	-0.3	F
83	0.15	F
84	-0.1	F
85	0.0	F
86	-0.25	F
87	0.25	F
88	-0.15	F
89	0.15	F
90	-0.2	F
91	0.25	F
92	-0.3	F
93	0.15	F
94	-0.1	F
95	0.0	F
96	-0.25	F
97	0.25	F
98	-0.15	F
99	0.15	F
100	-0.2	F
101	0.25	F
102	-0.3	F
103	0.15	F
104	-0.1	F
105	0.0	F
106	-0.25	F
107	0.25	F
108	-0.15	F
109	0.15	F
110	-0.2	F
111	0.25	F
112	-0.3	F
113	0.15	F
114	-0.1	F
115.0	0.0	T
115.514305	-0.25	T
116.0286	0.25	T
116.54291	-0.15	T
117.057205	0.15	T
117.57151	-0.2	T
118.08581	0.25	T
118.60011	-0.3	T
119.11442	0.15	T
119.628716	-0.1	T
120	-0.25	F
121	0.25	F
122	-0.15	F
123	0.15	F
124	-0.2	F
125	0.25	F
126	-0.3	F
127	0.15	F
128	-0.1	F
129	0.0	F
130	-0.25	F
131	0.25	F
132	-0.15	F
133	0.15	F
134	-0.04797389320554246	T
135	0.25	F
136	-0.3	F
137	0.15	F
138	-0.1	F
139	0.0	F
140	-0.25	F
141	0.25	F
142	-0.15	F
143	0.15	F
144	-0.2	F
145	0.25	F
146	-0.3	F
147	0.15	F
148	-0.1	F
149	0.0	F
150	-0.25	F
151	0.25	F
152	-0.15	F
153	0.15	F
154	-0.2	F
155	0.25	F
156	-0.22476075502240278	T
157	0.15	F
158	-0.1	F
159	0.0	F
160	-0.25	F
161	0.09280158408956529	T
162	-0.15	F
163	0.15	F
164	-0.2	F
165	0.25	F
166	-0.3	F
167	0.15	F
168	-0.1	F
169	0.0	F
170	-0.25	F
171	0.25	F
172	-0.15	F
173	0.15	F
174	-0.2	F
175	0.25	F
176	-0.3	F
177	0.15	F
178	-0.1	F
179	0.0	F
180	-0.25	F
181	0.25	F
182.0	-0.15	T
183.16989	0.15	T
184.3398	-0.2	T
185.50969	0.25	T
186.6796	-0.3	T
187.84949	0.15	T
189.0194	-0.1	T
190.18929	0.0	T
191.35919	-0.25	T
192.52908	0.25	T
193	0.15	F
194	-0.2	F
195	0.25	F
196	-0.3	F
197	0.15	F
198	-0.1	F
199	0.0	F
200	-0.25	F
201	0.25	F
202	-0.15	F
203	0.15	F
204	-0.906456641964155	T
205	0.25	F
206	-0.3	F
207	0.15	F
208	-0.1	F
209	0.0	F
210	-0.25	F
211	0.25	F
212	-0.15	F
213	0.15	F
214	-0.2	F
215	0.25	F
216	-0.3	F
217	0.15	F
218	-0.1	F
219	0.0	F
220	-0.25	F
221	0.25	F
222	-0.15	F
223	0.15	F
224	-0.2	F
225	0.25	F
226	-0.3	F
227	0.15	F
228	-0.1	F
229	0.0	F
230	-0.25	F
231	0.25	F
232	-0.15	F
233	0.15	F
234	-0.2	F
235	0.25	F
236	-0.3	F
237	0.15	F
238	-0.1	F
239	0.0	F
240	-0.25	F
241	0.25	F
242	-0.15	F
243	0.15	F
244	-0.2	F
245	0.25	F
246	-0.3	F
247	0.15	F
248	-0.1	F
249	0.0	F
250	-0.25	F
251	0.25	F
252	-0.15	F
253	0.15	F
254	-0.2	F
255	0.25	F
256	-0.3	F
257	0.15	F
258	-0.1	F
259	0.0	F
260	-0.25	F
261	0.25	F
262	-0.15	F
263	0.15	F
264	-0.2	F
265	0.25	F
266	-0.3	F
267	0.15	F
268	-0.1	F
269	0.0	F
270	-0.25	F
271	0.25	F
272	-0.15	F
273	0.15	F
274	-0.2	F
275	0.25	F
276	-0.3	F
277	0.15	F
278	-0.1	F
279	0.0	F
280	-0.25	F
281	0.25	F
282	-0.15	F
283	0.15	F
284	-0.2	F
285	0.25	F
286.0	-0.3	T
288.76038	0.15	T
291.52078	-0.1	T
294.28116	0.0	T
297.04156	-0.25	T
299.80194	0.25	T
302.56235	-0.15	T
305.32272	0.15	T
308.08313	-0.2	T
310.8435	0.25	T
311	0.15	F
312	-0.1	F
313	0.0	F
314	-0.25	F
315	0.25	F
316	-0.15	F
317	0.15	F
318	-0.2	F
319	0.25	F
320	-0.3	F
321	0.15	F
322	-0.1	F
323	0.0	F
324	-0.25	F
325	0.25	F
326	-0.15	F
327	0.15	F
328	-0.2	F
329	0.25	F
330	-0.3	F
331	0.15	F
332	-0.1	F
333	0.0	F
334	-0.25	F
335	0.25	F
336	-0.15	F
337	0.15	F
338	-0.2	F
339	0.25	F
340	-0.3	F
341	0.15	F
342	-0.1	F
343	0.0	F
344.0	-0.25	T
346.71088	0.25	T
349.42172	-0.15	T
352.1326	0.15	T
354.84348	-0.2	T
357.55432	0.25	T
360.2652	-0.3	T
362.97607	0.15	T
365.68692	-0.1	T
368.3978	0.0	T
369	0.25	F
370	-0.15	F
371	0.15	F
372	-0.2	F
373	0.25	F
374	-0.3	F
375	0.15	F
376	-0.1	F
377	0.0	F
378	-0.25	F
379	0.25	F
380	-0.15	F
381	0.15	F
382	-0.2	F
383	0.25	F
384	-0.3	F
385	0.15	F
386	-0.1	F
387	0.0	F
388	-0.25	F
389	0.25	F
390	-0.15	F
391	0.15	F
392	-0.2	F
393	0.25	F
394	-0.3	F
395	0.15	F
396	-0.1	F
397	0.0	F
398	-0.25	F
399	0.25	F
400.0	-0.15	T
401.89944	0.15	T
403.7989	-0.2	T
405.6983	0.25	T
407.59775	-0.3	T
409.4972	0.15	T
411.39664	-0.1	T
413.29605	0.0	T
415.1955	-0.25	T
417.09494	0.25	T
418	0.15	F
419	-0.2	F
420	0.25	F
421	-0.3	F
422.0	0.15	T
424.9884	-0.1	T
427.9768	0.0	T
430.9652	-0.25	T
433.9536	0.25	T
436.94202	-0.15	T
439.93042	0.15	T
442.91882	-0.2	T
445.90723	0.25	T
448.89563	-0.3	T
449	-0.1	F
450	0.0	F
451	-0.25	F
452	0.25	F
453	-0.15	F
454	0.15	F
455	-0.7310752050007262	T
456	0.25	F
457	-0.3	F
458	0.15	F
459	-0.1	F
460	0.0	F
461	-0.25	F
462	0.25	F
463	-0.15	F
464	0.15	F
465	-0.2	F
466	0.25	F
467	-0.3	F
468	0.15	F
469	-0.1	F
470	0.0	F
471	-0.25	F
472	0.25	F
473	-0.09573013077706072	T
474	0.15	F
475	-0.2	F
476	0.25	F
477	-0.3	F
478.0	0.15	T
478.08627	-0.1	T
478.17258	0.0	T
478.25885	-0.25	T
478.34512	0.25	T
478.43143	-0.15	T
478.5177	0.15	T
478.604	-0.2	T
478.69028	0.25	T
478.77655	-0.3	T
479	-0.1	F
480	0.0	F
481	-0.25	F
482	0.25	F
483	-0.15	F
484	0.15	F
485	-0.2	F
486	0.25	F
487	-0.3	F
488	0.15	F
489	-0.1	F
490	0.0	F
491	-0.25	F
492	0.25	F
493	-0.15	F
494	0.6465138258999236	T
495	-0.2	F
496	0.25	F
497	-0.3	F
498.0	0.15	T
499.47305	-0.1	T
500.9461	0.0	T
502.4192	-0.25	T
503.89224	0.25	T
505.3653	-0.15	T
506.83835	0.15	T
508.3114	-0.2	T
509.7845	0.25	T
511.25754	-0.3	T
512	-0.1	F
513	0.0	F
514	-0.25	F
515	0.25	F
516	-0.15	F
517	0.15	F
518	-0.2	F
519	0.25	F
520	-0.3	F
521	0.15	F
522.0	-0.1	T
523.0401	0.0	T
524.0802	-0.25	T
525.12024	0.25	T
526.16034	-0.15	T
527.20044	0.15	T
528.2405	-0.2	T
529.28064	0.25	T
530.3207	-0.3	T
531.3608	0.15	T
532	0.0	F
533	-0.25	F
534	0.25	F
535	-0.15	F
536	0.7586847628972425	T
537	-0.2	F
538	0.25	F
539	-0.5285857582281179	T
540	0.15	F
541	-0.1	F
542	0.0	F
543	-0.25	F
544	0.03354200932511875	T
545	-0.15	F
546	0.15	F
547	-0.2	F
548	0.8005587828541384	T
549	-0.3	F
550	0.15	F
551	-0.1	F
552	0.0	F
553	-0.25	F
554	0.25	F
555	-0.15	F
556	0.6900569831914465	T
557	-0.2	F
558	0.25	F
559	-0.3	F
560	0.15	F
561	-0.1	F
562	0.0	F
563	-0.25	F
564	0.25	F
565	-0.15	F
566	0.15	F
567	-0.2	F
568	0.25	F
569	-0.3	F
570	0.15	F
571	-0.1	F
572	0.0	F
573	-0.25	F
574	0.25	F
575	-0.15	F
576	0.15	F
577	-0.2	F
578	0.25	F
579	-0.3	F
580	0.15	F
581	-0.1	F
582	0.0	F
583	-0.25	F
584	0.25	F
585	-0.15	F
586	0.15	F
587	-0.9531180660917802	T
588	0.25	F
589	-0.3	F
590	0.15	F
591	-0.1	F
592	0.0	F
593	-0.25	F
594	0.8279262845863821	T
595	-0.15	F
596	0.15	F
597	-0.2	F
598	0.25	F
599	-0.3	F
600	0.15	F
601	-0.1	F
602	0.0	F
603	-0.25	F
604	0.25	F
605	-0.15	F
606	0.15	F
607	-0.2	F
608	0.25	F
609	-0.3	F
610	0.15	F
611	-0.1	F
612	0.0	F
613	-0.25	F
614	0.25	F
615	-0.15	F
616	0.15	F
617	-0.2	F
618	0.25	F
619	-0.3	F
620	0.15	F
621	-0.1	F
622	0.0	F
623	-0.25	F
624	0.997493403157213	T
625	-0.15	F
626	0.15	F
627	-0.2	F
628	0.25	F
629	-0.6044451290385066	T
630	0.15	F
631	-0.1	F
632	0.0	F
633	-0.25	F
634	0.25	F
635	-0.15	F
636	0.15	F
637	-0.2	F
638	0.25	F
639	-0.3	F
640	0.15	F
641	-0.1	F
642	0.0	F
643	-0.25	F
644	0.25	F
645	-0.15	F
646	0.15	F
647	-0.2	F
648	0.25	F
649	-0.3	F
650	0.15	F
651	-0.1	F
652	0.0	F
653	-0.25	F
654	0.25	F
655	-0.15	F
656	0.15	F
657	-0.2	F
658	0.25	F
659	-0.3	F
660	0.15	F
661	-0.1	F
662	0.0	F
663	-0.25	F
664	0.25	F
665	-0.15	F
666	0.15	F
667	-0.2	F
668	0.25	F
669	-0.3	F
670	0.15	F
671	-0.1	F
672	0.0	F
673	-0.25	F
674	0.25	F
675	-0.15	F
676	0.15	F
677	-0.2	F
678	0.25	F
679	-0.3	F
680	0.15	F
681	-0.1	F
682	0.0	F
683	-0.25	F
684	0.25	F
685	-0.15	F
686	0.15	F
687	-0.2	F
688	0.25	F
689	-0.3	F
690	0.15	F
691	-0.1	F
692	0.0	F
693	-0.25	F
694	0.25	F
695	-0.15	F
696	0.15	F
697	-0.2	F
698	0.25	F
699	-0.3	F
700	0.15	F
701	-0.1	F
702	0.0	F
703	-0.25	F
704	0.25	F
705	-0.15	F
706	0.15	F
707	-0.2	F
708	0.25	F
709	-0.7590207652066093	T
710	0.15	F
711	-0.1	F
712	0.0	F
713	-0.25	F
714	0.25	F
715	-0.15	F
716	0.15	F
717	-0.2	F
718	0.25	F
719	-0.3	F
720	0.15	F
721	-0.1	F
722	0.0	F
723	-0.25	F
724	0.25	F
725	-0.15	F
726	0.15	F
727	-0.2	F
728	0.25	F
729	-0.3	F
730	0.15	F
731	-0.1	F
732	0.0	F
733	-0.25	F
734	0.25	F
735	-0.15	F
736	0.16081850327033598	T
737	-0.2	F
738	0.25	F
739	-0.3	F
740	0.15	F
741	-0.1	F
742	0.17431279923614595	T
743	-0.25	F
744	0.25	F
745	-0.15	F
746	0.15	F
747	-0.2	F
